Asset ID,Asset Barcode,Serial Number,Model,Condition ID,Scrap Value,Current Value,Purchase Price,Is Checked Out,Asset Name,Brand,Manufacturer,Asset Category,Location,Status,Condition,Notes (i.e description of item)
608,XMSA00499,,VEV-VEV1000 VHF/UHF,6,,4000,,FALSE,COMMUNICATION RADIO(WIRELESS),,,Computing & Communication System,All Locations,In Use,Good,
609,XMSA00500,XMSA00500,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
610,XMSA00501,XMSA00501,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
611,XMSA00502,XMSA00502,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
612,XMSA00503,XMSA00503,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
613,XMSA00504,XMSA00504,,6,,10000,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
614,XMSA00505,XMSA00505,,5,,,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,New,
615,XMSA00506,XMSA00506,,6,,,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
616,XMSA00507,XMSA00507,,6,,,,FALSE,HIGHBACK SWIVEL CHAIR,,,Furniture,OFFICE,In Use,Good,
617,XMSA0513,1414123169,,5,,,,FALSE,SENNHEISER mic ew500-935G,,,Audio Production,STORE,In Use,New,
618,XMSA0516,1244289376,,5,,,,FALSE,SENNHEISER mic ew500-935G,,,Audio Production,All Locations,In Use,New,
619,XMSA0519,1414123165,,5,,,,FALSE,SENNHEISER mic ew500-935G,,,Audio Production,STORE,In Use,New,
620,XMSA0522,1414123166,,5,,,,FALSE,SENNHEISER mic ew500-935G,,,Audio Production,OFFICE,In Use,New,
621,XMSA0514,1394123164,,5,,,,FALSE,SENNHEISER RECIEVER TRUE DIVERSITY ew500G,,,Audio Production,STORE,In Use,New,
622,XMSA0517,1274381670,EW500G,5,,,,FALSE,SENNHEISER RECIEVER TRUE DIVERSITY ew500G,,,Audio Production,STORE,In Use,New,
623,XMSA0520,1394123164,,5,,,,FALSE,SENNHEISER RECIEVER TRUE DIVERSITY ew500G,,,Audio Production,STORE,In Use,New,
624,XMSA0523,1394123160,,5,,,,FALSE,SENNHEISER RECIEVER TRUE DIVERSITY ew500G,,,Audio Production,STORE,In Use,New,
625,XMSA0515,XMSA0515,NT 2-3 ME 95,5,,,,FALSE,SENNHEISER SWITCHING POWER SUPPLY,,,Audio Production,STORE,In Use,New,
626,XMSA0518,XMSA0518,NT2-3 ME95,5,,,,FALSE,SENNHEISER SWITCHING POWER SUPPLY,,,Audio Production,STORE,In Use,New,
627,XMSA0521,XMSA0521,NT2-3 ME95,5,,,,FALSE,SENNHEISER SWITCHING POWER SUPPLY,,,Audio Production,STORE,In Use,New,
628,XMSA0524,XMSA0524,NT2-3 ME95,5,,,,FALSE,SENNHEISER SWITCHING POWER SUPPLY,,,Audio Production,STORE,In Use,New,
